OA11CD,LSOA11CD,All Ages
E00072966,E01014446,"341"
E00072967,E01014447,"312"
E00072968,E01014447,"315"
E00072969,E01014447,"802"
E00072970,E01014447,"321"
E00072971,E01014448,"336"
E00072972,E01014448,"276"
E00072975,E01014448,"347"
E00072981,E01014448,"257"
E00072987,E01014448,"338"
E00072973,E01014449,"349"
E00072974,E01014449,"410"
E00072977,E01014449,"322"
E00072978,E01014449,"421"
E00072976,E01014450,"306"
E00072980,E01014450,"319"
E00072982,E01014450,"457"
E00072984,E01014450,"358"
E00072979,E01014451,"553"
E00072983,E01014451,"297"
E00072985,E01014451,"377"
E00072986,E01014451,"417"
E00072988,E01014452,"338"
E00072992,E01014452,"342"
E00072994,E01014452,"250"
E00072995,E01014452,"238"
E00072996,E01014452,"319"
E00072989,E01014453,"337"
E00072990,E01014453,"373"
E00072991,E01014453,"290"
E00072997,E01014453,"387"
E00072993,E01014454,"352"
E00072998,E01014454,"345"
E00072999,E01014454,"326"
E00073000,E01014454,"328"
E00073002,E01014455,"243"
E00073006,E01014455,"304"
E00073008,E01014455,"266"
E00073009,E01014455,"299"
E00073019,E01014455,"210"
E00073010,E01014456,"248"
E00073011,E01014456,"273"
E00073012,E01014456,"303"
E00073013,E01014456,"350"
E00073014,E01014456,"335"
E00073001,E01014457,"311"
E00073004,E01014457,"282"
E00073007,E01014457,"257"
E00073015,E01014457,"275"
E00073016,E01014457,"224"
E00073003,E01014458,"294"
E00073005,E01014458,"362"
E00073017,E01014458,"321"
E00073018,E01014458,"440"
E00073024,E01014459,"207"
E00073025,E01014459,"404"
E00073026,E01014459,"253"
E00073027,E01014459,"329"
E00073028,E01014459,"346"
E00073020,E01014460,"219"
E00073021,E01014460,"220"
E00073022,E01014460,"134"
E00073023,E01014460,"293"
E00073029,E01014460,"258"
E00073030,E01014461,"285"
E00073035,E01014461,"251"
E00073038,E01014461,"344"
E00073042,E01014461,"278"
E00073036,E01014462,"424"
E00073037,E01014462,"232"
E00073039,E01014462,"278"
E00073040,E01014462,"294"
E00073041,E01014462,"290"
E00073031,E01014463,"264"
E00073034,E01014463,"346"
E00073043,E01014463,"362"
E00073046,E01014463,"296"
E00073047,E01014463,"319"
E00073032,E01014464,"283"
E00073033,E01014464,"280"
E00073044,E01014464,"270"
E00073045,E01014464,"237"
E00073048,E01014464,"508"
E00073050,E01014465,"355"
E00073060,E01014465,"300"
E00073066,E01014465,"266"
E00073067,E01014465,"323"
E00073068,E01014465,"309"
E00073052,E01014466,"276"
E00073054,E01014466,"279"
E00073057,E01014466,"245"
E00073059,E01014466,"311"
E00073061,E01014466,"260"
E00073053,E01014467,"269"
E00073055,E01014467,"260"
E00073056,E01014467,"309"
E00073062,E01014467,"250"
E00073069,E01014467,"242"
E00073070,E01014467,"260"
E00073049,E01014468,"300"
E00073051,E01014468,"227"
E00073058,E01014468,"331"
E00073063,E01014468,"183"
E00073064,E01014468,"264"
E00073065,E01014468,"305"
E00073075,E01014469,"254"
E00073076,E01014469,"352"
E00073077,E01014469,"413"
E00073081,E01014469,"448"
E00073071,E01014470,"346"
E00073080,E01014470,"321"
E00073082,E01014470,"758"
E00073084,E01014470,"312"
E00073072,E01014471,"319"
E00073073,E01014471,"305"
E00073074,E01014471,"249"
E00073078,E01014471,"325"
E00073087,E01014471,"370"
E00073079,E01014472,"407"
E00073083,E01014472,"934"
E00073085,E01014472,"235"
E00073086,E01014472,"384"
E00073094,E01014473,"351"
E00073097,E01014473,"330"
E00073098,E01014473,"341"
E00073099,E01014473,"375"
E00073100,E01014473,"406"
E00073088,E01014474,"308"
E00073090,E01014474,"279"
E00073092,E01014474,"243"
E00073096,E01014474,"312"
E00073091,E01014475,"249"
E00073093,E01014475,"318"
E00073095,E01014475,"381"
E00073105,E01014475,"1,384"
E00170252,E01014475,"914"
E00170253,E01014475,"233"
E00073101,E01014476,"421"
E00073102,E01014476,"376"
E00073103,E01014476,"375"
E00073104,E01014476,"388"
E00073106,E01014477,"234"
E00073119,E01014477,"340"
E00073121,E01014477,"280"
E00073122,E01014477,"288"
E00073123,E01014477,"349"
E00073108,E01014478,"286"
E00073109,E01014478,"314"
E00073120,E01014478,"318"
E00073124,E01014478,"304"
E00073113,E01014479,"288"
E00073114,E01014479,"251"
E00073115,E01014479,"337"
E00073117,E01014479,"254"
E00073118,E01014479,"383"
E00073107,E01014480,"283"
E00073110,E01014480,"351"
E00073111,E01014480,"270"
E00073112,E01014480,"364"
E00073116,E01014480,"285"
E00073128,E01014481,"782"
E00073134,E01014481,"360"
E00073137,E01014481,"317"
E00073138,E01014481,"336"
E00073125,E01014482,"373"
E00073135,E01014482,"339"
E00073141,E01014482,"268"
E00073142,E01014482,"392"
E00073129,E01014483,"528"
E00073131,E01014483,"288"
E00073136,E01014483,"366"
E00073139,E01014483,"298"
E00073140,E01014483,"250"
E00073126,E01014484,"468"
E00073127,E01014484,"448"
